Years Since Launch,Fuel Remaining [lbm]
0.0037912,60.147
0.0060793,60.25
0.014639,60.157
0.015958,60.099
0.018697,60.157
0.02916,60.145
0.031322,60.088
0.03163,60.088
0.033805,59.84
0.042031,59.742
0.042166,59.766
0.048435,59.766
0.056008,59.742
0.057111,59.543
0.066246,59.61
0.074219,59.504
0.081459,59.575
0.08847,59.587
0.095548,59.445
0.1028,59.398
0.11371,59.421
0.11818,59.369
0.12768,59.386
0.13276,59.421
0.14003,59.587
0.14715,59.362
0.14765,59.345
0.15359,59.345
0.15486,59.487
0.15771,59.197
0.16216,59.298
0.17779,59.381
0.18505,59.464
0.19193,59.257
0.19619,59.476
0.19874,59.25
0.20338,59.162
0.21069,59.221
0.21877,59.221
0.22189,59.352
0.22603,59.162
0.22913,59.352
0.23356,59.15
0.25415,59.25
0.25601,59.06
0.27104,59.162
0.27461,59.281
0.28025,59
0.29281,59.233
0.29863,59.192
0.30734,59.048
0.31421,59.18
0.32112,59.06
0.32426,59.156
0.32768,59.18
0.32837,59.192
0.33561,59.168
0.34035,59.054
0.34247,58.957
0.34295,59.077
0.34824,58.993
0.34977,58.873
0.35676,59.077
0.35795,58.933
0.37121,58.897
0.37353,59.066
0.3819,58.945
0.39167,58.969
0.39725,58.849
0.40023,58.933
0.40137,58.837
0.41062,58.829
0.41575,58.902
0.42203,58.914
0.42262,58.829
0.42615,58.926
0.42911,58.926
0.43039,58.926
0.44839,58.82
0.45593,58.865
0.45828,58.865
0.45924,58.756
0.47707,58.696
0.48711,58.865
0.48835,58.926
0.49137,58.817
0.49754,58.902
0.50889,58.761
0.50953,58.785
0.51338,58.841
0.51631,58.785
0.51722,58.639
0.52103,58.663
0.52945,58.761
0.53432,58.809
0.53894,58.554
0.56104,58.749
0.56801,58.666
0.58004,58.578
0.58248,58.643
0.58766,58.724
0.59483,58.578
0.59703,58.581
0.60549,58.581
0.61556,58.523
0.62009,58.666
0.62686,58.63
0.63377,58.606
0.64043,58.474
0.64989,58.437
0.65283,58.63
0.66884,58.581
0.67191,58.51
0.67455,58.29
0.67675,58.425
0.69103,58.45
0.73425,58.339
0.74418,58.437
0.7538,58.339
0.76388,58.499
0.76891,58.304
0.7852,58.499
0.79048,58.45
0.79542,58.376
0.79992,58.4
0.81089,58.267
0.81391,58.292
0.82785,58.292
0.83187,58.365
0.84858,58.341
0.85677,58.316
0.86286,58.267
0.87283,58.207
0.87763,58.12
0.87888,58.218
0.88469,58.194
0.88899,58.107
0.89269,58.145
0.89332,58.107
0.9,58.207
0.90725,58.182
0.90765,58.182
0.90841,57.971
0.9138,58.169
0.91478,58.145
0.92499,58.182
0.92828,57.983
0.93191,58.021
0.93555,57.971
0.94021,58.021
0.95722,57.992
0.9583,57.945
0.96454,57.908
0.96554,57.933
0.96707,57.996
0.97858,58.033
0.97968,58.008
0.98037,57.821
0.98382,57.921
0.98724,57.883
1.0019,57.808
1.0304,57.808
1.0346,57.846
1.0379,57.858
1.0383,57.908
1.0422,57.744
1.046,57.618
1.0588,57.656
1.0724,57.695
1.0742,57.846
1.0753,57.733
1.0788,57.58
1.0813,57.757
1.0821,57.707
1.0888,57.708
1.0989,57.744
1.1105,57.757
1.1174,57.694
1.1198,57.757
1.1235,57.542
1.1248,57.618
1.1267,57.656
1.132,57.707
1.1326,57.591
1.1386,57.426
1.1467,57.616
1.1502,57.603
1.1539,57.616
1.1654,57.694
1.1691,57.616
1.1743,57.604
1.1765,57.566
1.1786,57.604
1.1826,57.579
1.1846,57.376
1.1902,57.528
1.1933,57.477
1.1982,57.502
1.2053,57.604
1.2129,57.541
1.2261,57.502
1.2339,57.376
1.2394,57.541
1.2409,57.401
1.2626,57.35
1.276,57.449
1.2771,57.386
1.2842,57.461
1.2905,57.424
1.2986,57.36
1.3001,57.233
1.3046,57.347
1.3066,57.386
1.3102,57.386
1.3129,57.424
1.3132,57.271
1.3151,57.424
1.3196,57.335
1.321,57.449
1.3235,57.178
1.3268,57.411
1.3278,57.398
1.329,57.245
1.3461,57.233
1.3546,57.293
1.3613,57.267
1.367,57.305
1.3702,57.216
